filename,color_palette
la-perla-en-el-palacio-de-bellas-artes_2476345519_o.jpg,"[(21, 11, 19), (191, 199, 191), (125, 137, 129), (98, 104, 98), (116, 121, 143)]"
coleccion-jumex_4694859840_o.jpg,"[(134, 146, 139), (29, 33, 35), (224, 227, 230), (73, 67, 69), (82, 85, 67)]"
0183_3172274394_o.jpg,"[(51, 49, 10), (235, 234, 219), (133, 131, 55), (155, 167, 142), (135, 145, 149)]"
azul_2756258608_o.jpg,"[(32, 16, 30), (113, 129, 243), (127, 174, 234), (201, 213, 200), (122, 98, 66)]"
3161073664_f03eef2360_o.jpg,"[(204, 144, 67), (24, 7, 5), (119, 53, 16), (137, 142, 80), (92, 116, 108)]"
calle-de-madera_2755209149_o.jpg,"[(169, 162, 148), (46, 45, 41), (201, 218, 229), (124, 52, 33), (130, 94, 53)]"
ampliadora-35mm-y-visor-8mm_4302331062_o.jpg,"[(53, 26, 20), (196, 194, 62), (139, 200, 106), (138, 57, 26), (106, 121, 154)]"
cosas-pequeas-en-la-coleccin-jumex_4347863994_o.jpg,"[(68, 112, 72), (177, 240, 209), (130, 200, 144), (26, 43, 32), (132, 168, 144)]"
lluvia_4637777286_o.jpg,"[(191, 185, 168), (16, 11, 8), (87, 49, 22), (120, 97, 49), (100, 122, 127)]"
estilo-en-la-calle-bolivar_4853346542_o.jpg,"[(93, 72, 58), (217, 215, 189), (162, 153, 122), (192, 158, 128), (189, 178, 172)]"
el-metro_4846685316_o.jpg,"[(69, 69, 69), (212, 212, 212), (150, 150, 150), (180, 180, 180), (172, 172, 172)]"
metro-chabacano_5297064360_o.jpg,"[(51, 51, 51), (214, 214, 214), (130, 130, 130), (164, 164, 164), (156, 156, 156)]"
pintura-en-la-zona-maco_4536362383_o.jpg,"[(209, 200, 187), (38, 32, 34), (94, 64, 61), (124, 102, 77), (122, 108, 101)]"
a-traves-de-la-hamaca_4515931105_o.jpg,"[(60, 51, 52), (231, 224, 201), (180, 173, 154), (152, 135, 111), (145, 151, 167)]"
